"seqnames"	"start"	"end"	"annotation"	"SYMBOL"	"distanceToTSS"	"condition"
"2308"	"chr9"	21615585	21616000	"Promoter"	"Smarca4"	-169	"bCAT_APC"
"2309"	"chr9"	22002773	22003245	"Promoter"	"Prkcsh"	0	"bCAT_APC"
"2310"	"chr9"	22467195	22467717	"Promoter"	"Rp9"	639	"bCAT_APC"
"2311"	"chr9"	25173213	25173482	"Distal Intergenic"	"Herpud2"	-21432	"bCAT_APC"
"2312"	"chr9"	30934809	30935374	"Distal Intergenic"	"Adamts8"	-7189	"bCAT_APC"
"2313"	"chr9"	31320556	31321024	"Intron"	"Prdm10"	5449	"bCAT_APC"
"2314"	"chr9"	31437912	31438210	"Intron"	"Tmem45b"	26028	"bCAT_APC"
"2315"	"chr9"	34983839	34984446	"Intron"	"Kirrel3"	72055	"bCAT_APC"
"2316"	"chr9"	35335706	35336114	"Distal Intergenic"	"4933422A05Rik"	54601	"bCAT_APC"
"2317"	"chr9"	35761435	35761861	"Distal Intergenic"	"Gm17727"	16248	"bCAT_APC"
"2318"	"chr9"	35777807	35778520	"Promoter"	"Gm17727"	0	"bCAT_APC"
"2319"	"chr9"	37214655	37214972	"Intron"	"Tmem218"	6339	"bCAT_APC"
"2320"	"chr9"	37368625	37369058	"Promoter"	"Hepacam"	1019	"bCAT_APC"
"2321"	"chr9"	37530551	37531449	"Promoter"	"Esam"	2462	"bCAT_APC"
"2322"	"chr9"	41532878	41533091	"Promoter"	"Mir100"	1453	"bCAT_APC"
"2323"	"chr9"	42264422	42264979	"Promoter"	"Sc5d"	-122	"bCAT_APC"
"2324"	"chr9"	43150259	43151122	"Intron"	"Tmem136"	-33689	"bCAT_APC"
"2325"	"chr9"	43732638	43732904	"Distal Intergenic"	"Nectin1"	-11672	"bCAT_APC"
"2326"	"chr9"	43920218	43920773	"Distal Intergenic"	"Thy1"	-122611	"bCAT_APC"
"2327"	"chr9"	44484721	44486027	"Promoter"	"Bcl9l"	-1220	"bCAT_APC"
"2328"	"chr9"	44490786	44491140	"Intron"	"Bcl9l"	3539	"bCAT_APC"
"2329"	"chr9"	45103160	45103887	"Intron"	"Scn2b"	-13989	"bCAT_APC"
"2330"	"chr9"	45105849	45106123	"Intron"	"Scn2b"	-11753	"bCAT_APC"
"2331"	"chr9"	46443032	46444864	"Distal Intergenic"	"4931429L15Rik"	-123046	"bCAT_APC"
"2332"	"chr9"	46447083	46447517	"Distal Intergenic"	"4931429L15Rik"	-127097	"bCAT_APC"
"2333"	"chr9"	46454892	46455426	"Distal Intergenic"	"4931429L15Rik"	-134906	"bCAT_APC"
"2334"	"chr9"	46552524	46553229	"Distal Intergenic"	"4931429L15Rik"	-232538	"bCAT_APC"
"2335"	"chr9"	50745231	50745540	"Promoter"	"2310030G06Rik"	981	"bCAT_APC"
"2336"	"chr9"	51242227	51242522	"Distal Intergenic"	"Pou2af1"	28537	"bCAT_APC"
"2337"	"chr9"	51312367	51312695	"Intron"	"1810046K07Rik"	16222	"bCAT_APC"
"2338"	"chr9"	51766051	51766841	"Promoter"	"Arhgap20"	699	"bCAT_APC"
"2339"	"chr9"	52259317	52260244	"Distal Intergenic"	"Zc3h12c"	-90745	"bCAT_APC"
"2340"	"chr9"	53356418	53357007	"Intron"	"Kdelc2"	-27016	"bCAT_APC"
"2341"	"chr9"	54264913	54265283	"Intron"	"Gldn"	-21203	"bCAT_APC"
"2342"	"chr9"	54570707	54572071	"Distal Intergenic"	"Cib2"	-10628	"bCAT_APC"
"2343"	"chr9"	54909688	54909955	"3' UTR"	"Hykk"	-7335	"bCAT_APC"
"2344"	"chr9"	56522523	56522883	"Distal Intergenic"	"Hmg20a"	103677	"bCAT_APC"
"2345"	"chr9"	57212703	57213257	"Distal Intergenic"	"Trcg1"	-23299	"bCAT_APC"
"2346"	"chr9"	57660730	57660996	"Distal Intergenic"	"Csk"	-7099	"bCAT_APC"
"2347"	"chr9"	57831535	57831802	"Promoter"	"Arid3b"	2430	"bCAT_APC"
"2348"	"chr9"	57973770	57974060	"Distal Intergenic"	"Sema7a"	33635	"bCAT_APC"
"2349"	"chr9"	59037012	59037259	"Promoter"	"Neo1"	-571	"bCAT_APC"
"2350"	"chr9"	59656196	59656879	"Promoter"	"Pkm"	0	"bCAT_APC"
"2351"	"chr9"	59938451	59938832	"Intron"	"Nr2e3"	11242	"bCAT_APC"
"2352"	"chr9"	61306410	61306745	"Distal Intergenic"	"B930092H01Rik"	-12601	"bCAT_APC"
"2353"	"chr9"	61339264	61339536	"Distal Intergenic"	"Tle3"	-32830	"bCAT_APC"
"2354"	"chr9"	62326942	62327192	"Distal Intergenic"	"Anp32a"	-14151	"bCAT_APC"
"2355"	"chr9"	63109132	63109692	"Distal Intergenic"	"Skor1"	37288	"bCAT_APC"
"2356"	"chr9"	63752587	63752940	"Intron"	"Smad3"	5054	"bCAT_APC"
"2357"	"chr9"	64520248	64521259	"Intron"	"Megf11"	18725	"bCAT_APC"
"2358"	"chr9"	65162694	65163369	"Intron"	"Igdcc3"	21505	"bCAT_APC"
"2359"	"chr9"	65823764	65823997	"Intron"	"Zfp609"	3567	"bCAT_APC"
"2360"	"chr9"	66090978	66091907	"Intron"	"Snx22"	-21247	"bCAT_APC"
"2361"	"chr9"	66266525	66267134	"Intron"	"Herc1"	-83316	"bCAT_APC"
"2362"	"chr9"	66592097	66592386	"Promoter"	"Usp3"	729	"bCAT_APC"
"2363"	"chr9"	67236149	67236473	"Promoter"	"Mir190a"	253	"bCAT_APC"
"2364"	"chr9"	67510929	67511775	"Intron"	"Tln2"	27628	"bCAT_APC"
"2365"	"chr9"	67756651	67757808	"Promoter"	"C2cd4b"	-1629	"bCAT_APC"
"2366"	"chr9"	69442573	69443052	"Distal Intergenic"	"Anxa2"	-10631	"bCAT_APC"
"2367"	"chr9"	70062076	70062276	"Distal Intergenic"	"Gcnt3"	-23988	"bCAT_APC"
"2368"	"chr9"	70657376	70657619	"Promoter"	"Mindy2"	-202	"bCAT_APC"
"2369"	"chr9"	70863523	70864066	"Intron"	"Lipc"	70742	"bCAT_APC"
"2370"	"chr9"	71832406	71832746	"Distal Intergenic"	"Tcf12"	37033	"bCAT_APC"
"2371"	"chr9"	71835021	71835495	"Distal Intergenic"	"Tcf12"	34284	"bCAT_APC"
"2372"	"chr9"	71895837	71896045	"Promoter"	"Tcf12"	51	"bCAT_APC"
"2373"	"chr9"	72880828	72881771	"Intron"	"Pygo1"	-43879	"bCAT_APC"
"2374"	"chr9"	73559957	73560537	"Intron"	"Unc13c"	373030	"bCAT_APC"
"2375"	"chr9"	75314582	75314946	"Promoter"	"Gnb5"	514	"bCAT_APC"
"2376"	"chr9"	75529118	75529668	"Exon"	"Tmod3"	29989	"bCAT_APC"
"2377"	"chr9"	77918055	77918254	"Promoter"	"Elovl5"	690	"bCAT_APC"
"2378"	"chr9"	80181793	80182180	"Intron"	"Myo6"	16759	"bCAT_APC"
"2379"	"chr9"	83570156	83570873	"Intron"	"Sh3bgrl2"	21818	"bCAT_APC"
"2380"	"chr9"	84461544	84461898	"Distal Intergenic"	"4930554C24Rik"	-312500	"bCAT_APC"
"2381"	"chr9"	85011397	85011696	"Distal Intergenic"	"4930554C24Rik"	236999	"bCAT_APC"
"2382"	"chr9"	85799180	85799385	"Distal Intergenic"	"Tpbg"	-42995	"bCAT_APC"
"2383"	"chr9"	87021101	87021998	"Promoter"	"Cyb5r4"	-31	"bCAT_APC"
"2384"	"chr9"	90008068	90008321	"Intron"	"Ctsh"	-45946	"bCAT_APC"
"2385"	"chr9"	90113803	90114205	"Promoter"	"Morf4l1"	615	"bCAT_APC"
"2386"	"chr9"	92293992	92294564	"Intron"	"1700057G04Rik"	-14813	"bCAT_APC"
"2387"	"chr9"	96133263	96133612	"5' UTR"	"Gk5"	13834	"bCAT_APC"
"2388"	"chr9"	96195274	96195698	"Promoter"	"Tfdp2"	-577	"bCAT_APC"
"2389"	"chr9"	96415846	96416506	"Distal Intergenic"	"Atp1b3"	-51547	"bCAT_APC"
"2390"	"chr9"	96752598	96752941	"Promoter"	"Zbtb38"	0	"bCAT_APC"
"2391"	"chr9"	97098620	97099287	"Intron"	"Slc25a36"	11754	"bCAT_APC"
"2392"	"chr9"	97341949	97342344	"Distal Intergenic"	"Trim42"	27614	"bCAT_APC"
"2393"	"chr9"	97775770	97776084	"Intron"	"4921534H16Rik"	-227336	"bCAT_APC"
"2394"	"chr9"	97788115	97788678	"Intron"	"4921534H16Rik"	-214742	"bCAT_APC"
"2395"	"chr9"	99144530	99145004	"Distal Intergenic"	"Pik3cb"	-4319	"bCAT_APC"
"2396"	"chr9"	99242980	99243214	"Promoter"	"Cep70"	-254	"bCAT_APC"
"2397"	"chr9"	99390253	99390549	"Intron"	"Esyt3"	-31723	"bCAT_APC"
"2398"	"chr9"	99709485	99709733	"Promoter"	"Cldn18"	330	"bCAT_APC"
"2399"	"chr9"	99875697	99876717	"Promoter"	"Sox14"	0	"bCAT_APC"
"2400"	"chr9"	102502158	102502626	"Distal Intergenic"	"Ky"	-3512	"bCAT_APC"
"2401"	"chr9"	102714827	102715369	"Promoter"	"Amotl2"	-1433	"bCAT_APC"
"2402"	"chr9"	102717450	102718337	"Promoter"	"Amotl2"	0	"bCAT_APC"
"2403"	"chr9"	103507282	103508042	"Intron"	"Bfsp2"	-26954	"bCAT_APC"
"2404"	"chr9"	104874281	104874764	"Intron"	"Mrpl3"	-178504	"bCAT_APC"
"2405"	"chr9"	104901182	104901608	"Exon"	"Mrpl3"	-151660	"bCAT_APC"
"2406"	"chr9"	106821759	106822074	"Promoter"	"Dcaf1"	0	"bCAT_APC"
"2407"	"chr9"	107267915	107268223	"Intron"	"Mapkapk3"	-4151	"bCAT_APC"
"2408"	"chr9"	107575371	107576185	"Promoter"	"Hyal1"	-767	"bCAT_APC"
"2409"	"chr9"	107612300	107612615	"Downstream"	"Sema3b"	-3059	"bCAT_APC"
"2410"	"chr9"	108137343	108137683	"Promoter"	"4930447F24Rik"	488	"bCAT_APC"
"2411"	"chr9"	109095533	109095766	"Promoter"	"Plxnb1"	97	"bCAT_APC"
"2412"	"chr9"	110624380	110624891	"Promoter"	"Nradd"	0	"bCAT_APC"
"2413"	"chr9"	111757836	111758984	"Distal Intergenic"	"Stac"	-67620	"bCAT_APC"
"2414"	"chr9"	113673857	113674228	"Intron"	"Pdcd6ip"	34031	"bCAT_APC"
"2415"	"chr9"	114367760	114368430	"Promoter"	"4930520O04Rik"	0	"bCAT_APC"
"2416"	"chr9"	114390137	114390336	"Promoter"	"Crtap"	376	"bCAT_APC"
"2417"	"chr9"	116187061	116187609	"Distal Intergenic"	"Tgfbr2"	-11698	"bCAT_APC"
"2418"	"chr9"	116190733	116191441	"Exon"	"Tgfbr2"	-15370	"bCAT_APC"
"2419"	"chr9"	116207966	116208204	"Distal Intergenic"	"Tgfbr2"	-32603	"bCAT_APC"
"2420"	"chr9"	116872979	116873445	"Intron"	"Rbms3"	-50083	"bCAT_APC"
"2421"	"chr9"	116873656	116874156	"Intron"	"Rbms3"	-50760	"bCAT_APC"
"2422"	"chr9"	116981026	116981335	"Intron"	"Rbms3"	-158130	"bCAT_APC"
"2423"	"chr9"	117017027	117017299	"Intron"	"Rbms3"	-194131	"bCAT_APC"
"2424"	"chr9"	117243323	117243824	"Intron"	"Rbms3"	7751	"bCAT_APC"
"2425"	"chr9"	117400294	117400942	"Intron"	"Rbms3"	-147811	"bCAT_APC"
"2426"	"chr9"	117962137	117962597	"Intron"	"Azi2"	-77925	"bCAT_APC"
"2427"	"chr9"	118908347	118908657	"Intron"	"Ctdspl"	-17879	"bCAT_APC"
"2428"	"chr9"	120067469	120067974	"Promoter"	"Cx3cr1"	322	"bCAT_APC"
"2429"	"chr9"	120674558	120675269	"Distal Intergenic"	"5830454E08Rik"	97227	"bCAT_APC"
"2430"	"chr9"	120734361	120734694	"Distal Intergenic"	"5830454E08Rik"	157030	"bCAT_APC"
"2431"	"chr9"	120798870	120799442	"Distal Intergenic"	"1700020M21Rik"	115808	"bCAT_APC"
"2432"	"chr9"	120932419	120932927	"Promoter"	"Ctnnb1"	-473	"bCAT_APC"
"2433"	"chr9"	122351739	122352006	"Promoter"	"Abhd5"	123	"bCAT_APC"
"2434"	"chr9"	123851874	123852101	"Promoter"	"Fyco1"	0	"bCAT_APC"
"2435"	"chrX"	6446447	6446786	"Intron"	"Shroom4"	30705	"bCAT_APC"
"2436"	"chrX"	12135876	12136140	"Intron"	"Bcor"	24215	"bCAT_APC"
"2437"	"chrX"	13413113	13413463	"Distal Intergenic"	"Nyx"	-52647	"bCAT_APC"
"2438"	"chrX"	20575472	20575708	"Distal Intergenic"	"Rgn"	25654	"bCAT_APC"
"2439"	"chrX"	48623787	48624043	"Promoter"	"Slc25a14"	209	"bCAT_APC"
"2440"	"chrX"	49028446	49028775	"Intron"	"Gm595"	-150733	"bCAT_APC"
"2441"	"chrX"	67869554	67869753	"Distal Intergenic"	"4933436I01Rik"	51697	"bCAT_APC"
"2442"	"chrX"	73566294	73566551	"Intron"	"Atp2b3"	43459	"bCAT_APC"
"2443"	"chrX"	101532538	101533049	"Promoter"	"Taf1"	0	"bCAT_APC"
"2444"	"chrX"	102310900	102311110	"Intron"	"Gm14858"	58249	"bCAT_APC"
"2445"	"chrX"	134127222	134127544	"Intron"	"Nox1"	-15368	"bCAT_APC"
"2446"	"chrX"	134540845	134541169	"Promoter"	"Timm8a1"	501	"bCAT_APC"
"2447"	"chrX"	136228177	136228941	"Distal Intergenic"	"Tceal7"	4136	"bCAT_APC"
"2448"	"chrX"	145484701	145484993	"Intron"	"Amot"	2646	"bCAT_APC"
"2449"	"chrX"	155215827	155216570	"Promoter"	"Sat1"	0	"bCAT_APC"
"2450"	"chrX"	158423621	158423878	"Distal Intergenic"	"Cnksr2"	-380424	"bCAT_APC"
"2451"	"chrX"	162044468	162044808	"Intron"	"Nhs"	114633	"bCAT_APC"
"2452"	"chrX"	169158472	169158696	"Intron"	"Amelx"	28513	"bCAT_APC"
"2453"	"chrY"	259056	259409	"Distal Intergenic"	"1700020D14Rik"	52906	"bCAT_APC"
"2454"	"chrY"	11857974	11858454	"Distal Intergenic"	"Gm20877"	-523535	"bCAT_APC"
"2455"	"chr1"	4538166	4538533	"Distal Intergenic"	"Sox17"	-40812	"bCAT_bCAT"
"2456"	"chr1"	4598410	4598766	"Distal Intergenic"	"Sox17"	-101056	"bCAT_bCAT"
"2457"	"chr1"	4785347	4785761	"Promoter"	"Mrpl15"	0	"bCAT_bCAT"
"2458"	"chr1"	6510678	6511067	"Intron"	"St18"	23447	"bCAT_bCAT"
"2459"	"chr1"	7498823	7499889	"Distal Intergenic"	"Pcmtd1"	338738	"bCAT_bCAT"
"2460"	"chr1"	7501653	7501885	"Distal Intergenic"	"Pcmtd1"	341568	"bCAT_bCAT"
"2461"	"chr1"	7501996	7502692	"Distal Intergenic"	"Pcmtd1"	341911	"bCAT_bCAT"
"2462"	"chr1"	9780319	9780582	"Intron"	"Sgk3"	-17548	"bCAT_bCAT"
"2463"	"chr1"	9943459	9944059	"Promoter"	"Snhg6"	59	"bCAT_bCAT"
"2464"	"chr1"	9967755	9967990	"Promoter"	"Tcf24"	-270	"bCAT_bCAT"
"2465"	"chr1"	10123982	10124420	"Intron"	"Arfgef1"	35640	"bCAT_bCAT"
"2466"	"chr1"	16177713	16178007	"Distal Intergenic"	"Rdh10"	71831	"bCAT_bCAT"
"2467"	"chr1"	16228018	16228295	"Downstream"	"Rdh10"	122136	"bCAT_bCAT"
"2468"	"chr1"	16235039	16235373	"Intron"	"Rdh10"	129157	"bCAT_bCAT"
"2469"	"chr1"	24107693	24108215	"Distal Intergenic"	"Fam135a"	-7352	"bCAT_bCAT"
"2470"	"chr1"	36444901	36445100	"Promoter"	"Lman2l"	171	"bCAT_bCAT"
"2471"	"chr1"	37300733	37300976	"Promoter"	"Inpp4a"	895	"bCAT_bCAT"
"2472"	"chr1"	38130024	38130631	"Promoter"	"Rev1"	-362	"bCAT_bCAT"
"2473"	"chr1"	39331368	39331716	"Intron"	"Rpl31"	-36135	"bCAT_bCAT"
"2474"	"chr1"	39598826	39599153	"Distal Intergenic"	"Rnf149"	-21479	"bCAT_bCAT"
"2475"	"chr1"	39813156	39813542	"Distal Intergenic"	"Gm3646"	-7824	"bCAT_bCAT"
"2476"	"chr1"	39831517	39831841	"Distal Intergenic"	"1700066B17Rik"	15489	"bCAT_bCAT"
"2477"	"chr1"	43173575	43174024	"Intron"	"Fhl2"	-9614	"bCAT_bCAT"
"2478"	"chr1"	46003276	46003872	"Distal Intergenic"	"Stk-ps2"	26565	"bCAT_bCAT"
"2479"	"chr1"	51996728	51996994	"Intron"	"Stat4"	9580	"bCAT_bCAT"
"2480"	"chr1"	52251304	52251992	"Distal Intergenic"	"Gls"	-18072	"bCAT_bCAT"
"2481"	"chr1"	52293396	52293974	"Distal Intergenic"	"Gls"	-60164	"bCAT_bCAT"
"2482"	"chr1"	53785359	53785603	"Promoter"	"Stk17b"	-144	"bCAT_bCAT"
"2483"	"chr1"	54557678	54558773	"Promoter"	"Pgap1"	0	"bCAT_bCAT"
"2484"	"chr1"	54747816	54748071	"Intron"	"Ankrd44"	178316	"bCAT_bCAT"
"2485"	"chr1"	54768230	54768562	"Intron"	"Ankrd44"	157825	"bCAT_bCAT"
"2486"	"chr1"	58742540	58742788	"Intron"	"Cflar"	11988	"bCAT_bCAT"
"2487"	"chr1"	58973131	58973498	"Promoter"	"Trak2"	0	"bCAT_bCAT"
"2488"	"chr1"	59446501	59446700	"Distal Intergenic"	"Fzd7"	-35447	"bCAT_bCAT"
"2489"	"chr1"	66793065	66793290	"Intron"	"Kansl1l"	15504	"bCAT_bCAT"
"2490"	"chr1"	66862337	66863020	"Promoter"	"Acadl"	289	"bCAT_bCAT"
"2491"	"chr1"	67065119	67065880	"Distal Intergenic"	"Lancl1"	-26247	"bCAT_bCAT"
"2492"	"chr1"	67077765	67078040	"Distal Intergenic"	"Lancl1"	-38893	"bCAT_bCAT"
"2493"	"chr1"	67078657	67079395	"Distal Intergenic"	"Lancl1"	-39785	"bCAT_bCAT"
"2494"	"chr1"	73725331	73725551	"Intron"	"Mir6351"	130024	"bCAT_bCAT"
"2495"	"chr1"	74434668	74434937	"Exon"	"Vil1"	25284	"bCAT_bCAT"
"2496"	"chr1"	74587427	74588264	"Promoter"	"Zfp142"	0	"bCAT_bCAT"
"2497"	"chr1"	74661742	74662109	"Promoter"	"Ttll4"	0	"bCAT_bCAT"
"2498"	"chr1"	74816934	74817538	"Distal Intergenic"	"Wnt10a"	24915	"bCAT_bCAT"
"2499"	"chr1"	74971502	74972001	"Intron"	"Ihh"	-19830	"bCAT_bCAT"
"2500"	"chr1"	75142164	75142485	"Promoter"	"Cnppd1"	75	"bCAT_bCAT"
"2501"	"chr1"	77279218	77279824	"Distal Intergenic"	"Mir6352"	216944	"bCAT_bCAT"
"2502"	"chr1"	77469036	77469905	"Intron"	"Mir6352"	26863	"bCAT_bCAT"
"2503"	"chr1"	82124562	82125411	"Distal Intergenic"	"Mir6344"	-6505	"bCAT_bCAT"
"2504"	"chr1"	82785408	82785607	"Distal Intergenic"	"Tm4sf20"	-16952	"bCAT_bCAT"
"2505"	"chr1"	82973986	82974330	"Distal Intergenic"	"Slc19a3"	64118	"bCAT_bCAT"
"2506"	"chr1"	84839247	84839547	"Promoter"	"Trip12"	0	"bCAT_bCAT"
"2507"	"chr1"	86442392	86443091	"Distal Intergenic"	"Tex44"	16063	"bCAT_bCAT"
"2508"	"chr1"	86669709	86669913	"Promoter"	"Nppc"	660	"bCAT_bCAT"
"2509"	"chr1"	87174333	87175601	"Distal Intergenic"	"Prss56"	-7713	"bCAT_bCAT"
"2510"	"chr1"	87579020	87580041	"5' UTR"	"Neu2"	-3981	"bCAT_bCAT"
"2511"	"chr1"	87779213	87779482	"Promoter"	"Atg16l1"	755	"bCAT_bCAT"
"2512"	"chr1"	87906440	87906660	"Intron"	"Dgkd"	-28622	"bCAT_bCAT"
"2513"	"chr1"	88276775	88277703	"Promoter"	"Hjurp"	0	"bCAT_bCAT"
"2514"	"chr1"	88559193	88559505	"Intron"	"Gm19589"	7676	"bCAT_bCAT"
"2515"	"chr1"	88705034	88705337	"Distal Intergenic"	"Arl4c"	-2843	"bCAT_bCAT"
"2516"	"chr1"	88746256	88747172	"Distal Intergenic"	"Platr5"	-7718	"bCAT_bCAT"
"2517"	"chr1"	88929409	88929757	"Distal Intergenic"	"1700067G17Rik"	-86356	"bCAT_bCAT"
"2518"	"chr1"	91023952	91024203	"Intron"	"Lrrfip1"	25225	"bCAT_bCAT"
"2519"	"chr1"	91390487	91390799	"5' UTR"	"Ilkap"	7984	"bCAT_bCAT"
"2520"	"chr1"	93160206	93160540	"Promoter"	"2310007B03Rik"	330	"bCAT_bCAT"
"2521"	"chr1"	105663551	105663941	"Promoter"	"2310035C23Rik"	0	"bCAT_bCAT"
"2522"	"chr1"	118458721	118459268	"Promoter"	"2900060B14Rik"	0	"bCAT_bCAT"
"2523"	"chr1"	118880888	118881217	"Intron"	"Mir6346"	-73003	"bCAT_bCAT"
"2524"	"chr1"	120084352	120084632	"Distal Intergenic"	"Tmem37"	-10572	"bCAT_bCAT"
"2525"	"chr1"	127233058	127233681	"Intron"	"Mgat5"	28072	"bCAT_bCAT"
"2526"	"chr1"	128244469	128244846	"Promoter"	"Ubxn4"	288	"bCAT_bCAT"
"2527"	"chr1"	128535589	128536168	"Distal Intergenic"	"Cxcr4"	56125	"bCAT_bCAT"
"2528"	"chr1"	128658984	128659217	"Distal Intergenic"	"Cxcr4"	-66685	"bCAT_bCAT"
"2529"	"chr1"	130524820	130525098	"Distal Intergenic"	"Cd55"	-62076	"bCAT_bCAT"
"2530"	"chr1"	130737391	130738477	"Promoter"	"AA986860"	-1795	"bCAT_bCAT"
"2531"	"chr1"	130770283	130770724	"Distal Intergenic"	"AA986860"	30011	"bCAT_bCAT"
"2532"	"chr1"	131123043	131124307	"Distal Intergenic"	"Dyrk3"	13927	"bCAT_bCAT"
"2533"	"chr1"	131461042	131461504	"Intron"	"Srgap2"	64089	"bCAT_bCAT"
"2534"	"chr1"	132008291	132008758	"Promoter"	"Elk4"	686	"bCAT_bCAT"
"2535"	"chr1"	133012404	133012899	"5' UTR"	"Mdm4"	12517	"bCAT_bCAT"
"2536"	"chr1"	133057649	133057928	"Intron"	"Pik3c2b"	11637	"bCAT_bCAT"
"2537"	"chr1"	133093874	133094167	"Intron"	"Ppp1r15b"	-36999	"bCAT_bCAT"
"2538"	"chr1"	133434184	133434414	"Distal Intergenic"	"Sox13"	-9972	"bCAT_bCAT"
"2539"	"chr1"	133434525	133435087	"Distal Intergenic"	"Sox13"	-10313	"bCAT_bCAT"
"2540"	"chr1"	134006410	134006738	"Distal Intergenic"	"Fmod"	-30777	"bCAT_bCAT"
"2541"	"chr1"	134344708	134345472	"Downstream"	"Ppfia4"	-11780	"bCAT_bCAT"
"2542"	"chr1"	134554548	134554897	"Distal Intergenic"	"Mgat4e"	-4866	"bCAT_bCAT"
"2543"	"chr1"	134875321	134876090	"Exon"	"Ppp1r12b"	-28901	"bCAT_bCAT"
"2544"	"chr1"	135199186	135199572	"Distal Intergenic"	"Gpr37l1"	-31505	"bCAT_bCAT"
"2545"	"chr1"	135280647	135281202	"Intron"	"Rnpep"	2882	"bCAT_bCAT"
"2546"	"chr1"	135281283	135281822	"Promoter"	"Rnpep"	2262	"bCAT_bCAT"
"2547"	"chr1"	135504846	135505119	"Intron"	"Nav1"	5332	"bCAT_bCAT"
"2548"	"chr1"	135807493	135808274	"Exon"	"Tnni1"	4899	"bCAT_bCAT"
"2549"	"chr1"	136104667	136104940	"Intron"	"Gm15850"	26243	"bCAT_bCAT"
"2550"	"chr1"	136172767	136173259	"Exon"	"Kif21b"	41366	"bCAT_bCAT"
"2551"	"chr1"	151025013	151025556	"Distal Intergenic"	"Hmcn1"	-31578	"bCAT_bCAT"
"2552"	"chr1"	151096242	151096441	"Distal Intergenic"	"C730036E19Rik"	-41593	"bCAT_bCAT"
"2553"	"chr1"	151342944	151343883	"Promoter"	"Ivns1abp"	-615	"bCAT_bCAT"
"2554"	"chr1"	153073504	153073799	"Exon"	"Lamc2"	112648	"bCAT_bCAT"
"2555"	"chr1"	153274640	153275278	"Intron"	"Lamc1"	57508	"bCAT_bCAT"
"2556"	"chr1"	153320717	153321121	"Intron"	"Lamc1"	11665	"bCAT_bCAT"
"2557"	"chr1"	153862749	153863097	"Intron"	"Teddm1b"	-11248	"bCAT_bCAT"
"2558"	"chr1"	153900066	153900613	"Promoter"	"Glul"	137	"bCAT_bCAT"
"2559"	"chr1"	155527411	155527696	"Promoter"	"Gm5532"	-300	"bCAT_bCAT"
"2560"	"chr1"	156471235	156472324	"Promoter"	"Soat1"	2004	"bCAT_bCAT"
"2561"	"chr1"	156521814	156522341	"Distal Intergenic"	"Abl2"	-36446	"bCAT_bCAT"
"2562"	"chr1"	156732088	156732588	"Distal Intergenic"	"Fam20b"	-13178	"bCAT_bCAT"
"2563"	"chr1"	157253993	157254385	"Intron"	"Tex35"	-145313	"bCAT_bCAT"
"2564"	"chr1"	160213010	160213647	"Promoter"	"Cacybp"	-118	"bCAT_bCAT"
"2565"	"chr1"	161070832	161071711	"Promoter"	"Cenpl"	65	"bCAT_bCAT"
"2566"	"chr1"	162570464	162570676	"Promoter"	"Vamp4"	-47	"bCAT_bCAT"
"2567"	"chr1"	162867411	162867864	"Promoter"	"Fmo1"	-863	"bCAT_bCAT"
"2568"	"chr1"	164214455	164215936	"Exon"	"Slc19a2"	-33110	"bCAT_bCAT"
"2569"	"chr1"	164252392	164253049	"Intron"	"Slc19a2"	3346	"bCAT_bCAT"
"2570"	"chr1"	164470534	164471384	"Distal Intergenic"	"Atp1b1"	-12179	"bCAT_bCAT"
"2571"	"chr1"	164712469	164712948	"Distal Intergenic"	"Dpt"	-83784	"bCAT_bCAT"
"2572"	"chr1"	165616892	165617107	"Intron"	"Mpzl1"	-15028	"bCAT_bCAT"
"2573"	"chr1"	165617161	165617801	"Intron"	"Mpzl1"	-15297	"bCAT_bCAT"
"2574"	"chr1"	165840790	165841115	"Intron"	"Pou2f1"	39360	"bCAT_bCAT"
"2575"	"chr1"	167271201	167271628	"Intron"	"Uck2"	13499	"bCAT_bCAT"
"2576"	"chr1"	169969304	169969634	"Promoter"	"3110045C21Rik"	0	"bCAT_bCAT"
"2577"	"chr1"	171184094	171184427	"Intron"	"Pcp4l1"	11859	"bCAT_bCAT"
"2578"	"chr1"	171204334	171204652	"Distal Intergenic"	"Pcp4l1"	-7299	"bCAT_bCAT"
"2579"	"chr1"	171329117	171329316	"Promoter"	"Dedd"	0	"bCAT_bCAT"
"2580"	"chr1"	172310050	172310331	"Promoter"	"Igsf8"	-2036	"bCAT_bCAT"
"2581"	"chr1"	172391876	172392334	"Distal Intergenic"	"Pigm"	15345	"bCAT_bCAT"
"2582"	"chr1"	172499892	172500302	"Promoter"	"Tagln2"	0	"bCAT_bCAT"
"2583"	"chr1"	177711016	177711292	"Distal Intergenic"	"1700016C15Rik"	-18522	"bCAT_bCAT"
"2584"	"chr1"	178275372	178276096	"Distal Intergenic"	"Cox20"	-43057	"bCAT_bCAT"
"2585"	"chr1"	178317625	178318677	"Promoter"	"Cox20"	-476	"bCAT_bCAT"
"2586"	"chr1"	178528205	178528480	"Promoter"	"Kif26b"	-645	"bCAT_bCAT"
"2587"	"chr1"	178530996	178531514	"Promoter"	"Kif26b"	1871	"bCAT_bCAT"
"2588"	"chr1"	178600063	178601059	"Intron"	"Kif26b"	70938	"bCAT_bCAT"
