Contrast	Geneid	log2FoldChange	padj	DEG
363295	Cell2 - Cond2 vs Cond3	Gm44995	0.01	NA	NS
496781	Cell2 - Cond4 vs Cond3	Gm21809	NA	NA	NS
307907	Cell2 - Cond1 vs Cond4	4833418N17Rik	0	NA	NS
444283	Cell2 - Cond4 vs Cond3	Natd1	0.04	0.526039265529777	NS
127450	Cell1 - Cond2 vs Cond3	Gm28322	-0.02	NA	NS
32390	Cell1 - Cond1 vs Cond2	Triml2	0	NA	NS
469372	Cell2 - Cond4 vs Cond3	Gm44949	0	NA	NS
323384	Cell2 - Cond1 vs Cond4	Gm15569	0.01	NA	NS
42654	Cell1 - Cond1 vs Cond2	Eif1-ps2	-0.07	NA	NS
190428	Cell2 - Cond1 vs Cond2	Igkv12-98	-0.01	NA	NS
337573	Cell2 - Cond2 vs Cond3	Pls3	0.52	0.0990841747147636	NS
210547	Cell2 - Cond1 vs Cond2	Gm49218	-0.01	NA	NS
99993	Cell1 - Cond1 vs Cond3	Mir378c	0.04	NA	NS
224897	Cell2 - Cond1 vs Cond3	Dffb	-1	0.00867123467055325	Downregulated
150990	Cell1 - Cond2 vs Cond3	Gm48599	NA	NA	NS
165762	Cell1 - Cond2 vs Cond3	Gm28705	NA	NA	NS
449683	Cell2 - Cond4 vs Cond3	Gm12166	-0.01	0.980311268421191	NS
362623	Cell2 - Cond2 vs Cond3	Gm24417	NA	NA	NS
176521	Cell2 - Cond1 vs Cond2	Gm13226	-0.03	0.999813334878738	NS
479836	Cell2 - Cond4 vs Cond3	Cd79b	0	NA	NS
485555	Cell2 - Cond4 vs Cond3	Tmem260	-0.03	NA	NS
253851	Cell2 - Cond1 vs Cond3	Stx1b	0.18	NA	NS
295428	Cell2 - Cond1 vs Cond4	Gm13675	-0.23	NA	NS
477516	Cell2 - Cond4 vs Cond3	Mir6412	NA	NA	NS
194623	Cell2 - Cond1 vs Cond2	Gm45161	0	NA	NS
157489	Cell1 - Cond2 vs Cond3	Gm46495	-0.01	NA	NS
327796	Cell2 - Cond1 vs Cond4	AC140053.1	-0.01	NA	NS
89213	Cell1 - Cond1 vs Cond3	2010110E17Rik	-0.04	NA	NS
59670	Cell1 - Cond1 vs Cond3	Agbl5	-0.92	0.0177247271187231	NS
354348	Cell2 - Cond2 vs Cond3	Gm25355	NA	NA	NS
151061	Cell1 - Cond2 vs Cond3	3732407C23Rik	0.02	NA	NS
28905	Cell1 - Cond1 vs Cond2	Gm6902	NA	NA	NS
5595	Cell1 - Cond1 vs Cond2	4732419C18Rik	-0.26	0.360177042600137	NS
486952	Cell2 - Cond4 vs Cond3	Gm19276	0.01	NA	NS
111349	Cell1 - Cond2 vs Cond3	Glod4	-0.81	2.87478496809461e-07	NS
61801	Cell1 - Cond1 vs Cond3	Dgat2	-0.48	0.0944689563308973	NS
45769	Cell1 - Cond1 vs Cond2	BC048602	-0.02	NA	NS
115134	Cell1 - Cond2 vs Cond3	Top1mt	0.8	0.0235221309950356	NS
197340	Cell2 - Cond1 vs Cond2	Setd6	-0.02	NA	NS
198467	Cell2 - Cond1 vs Cond2	Olfr146	0	NA	NS
194823	Cell2 - Cond1 vs Cond2	Olfr546-ps1	0	NA	NS
71496	Cell1 - Cond1 vs Cond3	Gm37707	0.03	NA	NS
259232	Cell2 - Cond1 vs Cond3	Gm17028	NA	NA	NS
131188	Cell1 - Cond2 vs Cond3	Gm14104	0.04	NA	NS
129694	Cell1 - Cond2 vs Cond3	Gm13358	0.03	NA	NS
259770	Cell2 - Cond1 vs Cond3	Gm11989	0.07	NA	NS
460923	Cell2 - Cond4 vs Cond3	Kif17	0.01	NA	NS
24466	Cell1 - Cond1 vs Cond2	Gm21461	NA	NA	NS
61040	Cell1 - Cond1 vs Cond3	Ccdc130	-0.64	0.0568837388922781	NS
441099	Cell2 - Cond2 vs Cond4	Gm15225	-0.02	NA	NS
139042	Cell1 - Cond2 vs Cond3	Gm19078	0.13	NA	NS
467710	Cell2 - Cond4 vs Cond3	Gm4558	NA	NA	NS
217258	Cell2 - Cond1 vs Cond2	Pax2	0	NA	NS
94821	Cell1 - Cond1 vs Cond3	2210409E12Rik	0.04	NA	NS
217330	Cell2 - Cond1 vs Cond2	Gsto2	0.01	NA	NS
281825	Cell2 - Cond1 vs Cond4	Gm38055	0.44	0.0829700023157726	NS
306321	Cell2 - Cond1 vs Cond4	Vmn1r112	NA	NA	NS
193071	Cell2 - Cond1 vs Cond2	Gm44632	0.01	NA	NS
312071	Cell2 - Cond1 vs Cond4	Gm44355	NA	NA	NS
140585	Cell1 - Cond2 vs Cond3	Gm45429	NA	NA	NS
114811	Cell1 - Cond2 vs Cond3	Usp22	-0.48	0.0160971501630782	NS
185323	Cell2 - Cond1 vs Cond2	Gm12578	-0.01	NA	NS
397388	Cell2 - Cond2 vs Cond4	Gm45546	-0.17	0.550622761973774	NS
451927	Cell2 - Cond4 vs Cond3	2900060B14Rik	-0.01	NA	NS
112698	Cell1 - Cond2 vs Cond3	Mcrip2	-0.78	0.000373553261439755	NS
300548	Cell2 - Cond1 vs Cond4	Gm12941	0.06	NA	NS
315586	Cell2 - Cond1 vs Cond4	Myhas	0.05	NA	NS
374547	Cell2 - Cond2 vs Cond3	Gm47361	0.07	NA	NS
355200	Cell2 - Cond2 vs Cond3	Gm12610	-0.07	NA	NS
276755	Cell2 - Cond1 vs Cond4	Ctss	-3.22	5.76018029727411e-32	Downregulated
353617	Cell2 - Cond2 vs Cond3	Gm42699	0.08	NA	NS
465648	Cell2 - Cond4 vs Cond3	Gkn1	0	NA	NS
203138	Cell2 - Cond1 vs Cond2	Gm12303	0	NA	NS
264365	Cell2 - Cond1 vs Cond3	1700014D04Rik	0	NA	NS
154954	Cell1 - Cond2 vs Cond3	Gm25328	0.01	NA	NS
92185	Cell1 - Cond1 vs Cond3	Gm48486	-0.01	NA	NS
149118	Cell1 - Cond2 vs Cond3	Olfr769	-0.08	NA	NS
491487	Cell2 - Cond4 vs Cond3	Eif2ak2	-0.02	NA	NS
278907	Cell2 - Cond1 vs Cond4	Pcdhb19	3.73	0.00459039520330748	Upregulated
333138	Cell2 - Cond2 vs Cond3	Ajuba	1.5	0.000151838335476642	Upregulated
62613	Cell1 - Cond1 vs Cond3	Trim25	0.31	0.146733653080338	NS
30476	Cell1 - Cond1 vs Cond2	Gm44993	0	NA	NS
9897	Cell1 - Cond1 vs Cond2	Sephs2	-0.07	0.727563703713395	NS
42260	Cell1 - Cond1 vs Cond2	Gm15813	-0.02	NA	NS
281154	Cell2 - Cond1 vs Cond4	Zscan26	-0.42	0.0548719223843825	NS
492533	Cell2 - Cond4 vs Cond3	Gm23581	NA	NA	NS
395667	Cell2 - Cond2 vs Cond4	Ltbr	-0.24	0.396609645200736	NS
259440	Cell2 - Cond1 vs Cond3	Gm33677	-0.03	NA	NS
99906	Cell1 - Cond1 vs Cond3	Gm5930	NA	NA	NS
304135	Cell2 - Cond1 vs Cond4	Vmn1r37	0.06	NA	NS
332431	Cell2 - Cond2 vs Cond3	Cryab	3.76	1.77937042511477e-07	Upregulated
69843	Cell1 - Cond1 vs Cond3	Gm10614	0.22	0.845652085466199	NS
467976	Cell2 - Cond4 vs Cond3	Mir1963	0	NA	NS
173960	Cell2 - Cond1 vs Cond2	Furin	-0.06	0.965808735946935	NS
162671	Cell1 - Cond2 vs Cond3	Btbd35f1	NA	NA	NS
382193	Cell2 - Cond2 vs Cond3	AC124181.1	0.1	NA	NS
120569	Cell1 - Cond2 vs Cond3	Gm9755	0.28	0.358378528679618	NS
363204	Cell2 - Cond2 vs Cond3	Gm8018	NA	NA	NS
63522	Cell1 - Cond1 vs Cond3	Vpreb3	-0.72	0.215168235010291	NS
286161	Cell2 - Cond1 vs Cond4	Capn5	-0.34	0.417656262838465	NS
378231	Cell2 - Cond2 vs Cond3	Gm49212	0	NA	NS
231990	Cell2 - Cond1 vs Cond3	AI506816	0.34	0.421024437245219	NS
293353	Cell2 - Cond1 vs Cond4	Gm22094	0.05	NA	NS
319706	Cell2 - Cond1 vs Cond4	Gm6888	0.02	NA	NS
238856	Cell2 - Cond1 vs Cond3	Gm28556	NA	NA	NS
111237	Cell1 - Cond2 vs Cond3	Rnf186	-1.01	6.84642455923248e-08	Downregulated
223153	Cell2 - Cond1 vs Cond3	Chst15	3.19	0.000238476212685921	Upregulated
241772	Cell2 - Cond1 vs Cond3	Bpifa1	-0.07	NA	NS
147285	Cell1 - Cond2 vs Cond3	Gm39464	0.03	NA	NS
133650	Cell1 - Cond2 vs Cond3	Gm42822	0.14	NA	NS
243239	Cell2 - Cond1 vs Cond3	Gm43235	-0.01	NA	NS
108284	Cell1 - Cond1 vs Cond3	Gm14892	0.19	NA	NS
87259	Cell1 - Cond1 vs Cond3	Gm15115	-0.01	NA	NS
116341	Cell1 - Cond2 vs Cond3	Lamp2	-0.3	0.0625056509435777	NS
231545	Cell2 - Cond1 vs Cond3	Ran	-0.27	0.371264937163282	NS
185056	Cell2 - Cond1 vs Cond2	Gm13303	NA	NA	NS
487505	Cell2 - Cond4 vs Cond3	Gm41336	NA	NA	NS
49508	Cell1 - Cond1 vs Cond2	AC154685.1	0	NA	NS
147463	Cell1 - Cond2 vs Cond3	Gm48843	0.03	NA	NS
31102	Cell1 - Cond1 vs Cond2	Gm18944	-0.01	NA	NS
358022	Cell2 - Cond2 vs Cond3	Gm24840	-0.03	NA	NS
158667	Cell1 - Cond2 vs Cond3	Gm22268	NA	NA	NS
481171	Cell2 - Cond4 vs Cond3	4930404H11Rik	0	NA	NS
469966	Cell2 - Cond4 vs Cond3	Olfr644	0	NA	NS
237436	Cell2 - Cond1 vs Cond3	Gm26866	0.05	NA	NS
481348	Cell2 - Cond4 vs Cond3	Gm47748	0.01	NA	NS
359839	Cell2 - Cond2 vs Cond3	Gm44414	0	NA	NS
81082	Cell1 - Cond1 vs Cond3	1700031L13Rik	-0.05	NA	NS
477143	Cell2 - Cond4 vs Cond3	Dusp6	0.03	NA	NS
64692	Cell1 - Cond1 vs Cond3	2210406O10Rik	-0.53	0.317727258558991	NS
308166	Cell2 - Cond1 vs Cond4	Gm45012	0.02	NA	NS
61109	Cell1 - Cond1 vs Cond3	Zfp607a	0.87	0.059792597390449	NS
307387	Cell2 - Cond1 vs Cond4	Gm24653	NA	NA	NS
211721	Cell2 - Cond1 vs Cond2	Sgsm3	-0.01	NA	NS
113469	Cell1 - Cond2 vs Cond3	Ndufaf2	-0.65	0.00214773845946364	NS
495113	Cell2 - Cond4 vs Cond3	Gm4989	0	NA	NS
254225	Cell2 - Cond1 vs Cond3	n-R5s94	NA	NA	NS
434783	Cell2 - Cond2 vs Cond4	Gm15953	-0.06	NA	NS
459818	Cell2 - Cond4 vs Cond3	Gm11760	0	NA	NS
246017	Cell2 - Cond1 vs Cond3	Gm13223	NA	NA	NS
4114	Cell1 - Cond1 vs Cond2	Bud31	0.27	0.224018628738103	NS
296627	Cell2 - Cond1 vs Cond4	Gm14225	-0.02	NA	NS
477918	Cell2 - Cond4 vs Cond3	Vstm2a	0	NA	NS
121288	Cell1 - Cond2 vs Cond3	Gm4117	0.36	0.422314771778742	NS
4420	Cell1 - Cond1 vs Cond2	Rbp7	-0.29	0.250538892520547	NS
406585	Cell2 - Cond2 vs Cond4	Gm14216	0.02	NA	NS
144938	Cell1 - Cond2 vs Cond3	Gm39228	0.03	NA	NS
254670	Cell2 - Cond1 vs Cond3	Rpl31-ps23	0.15	NA	NS
396341	Cell2 - Cond2 vs Cond4	Trib2	0.27	0.453579677986383	NS
156821	Cell1 - Cond2 vs Cond3	Gm9891	0.03	NA	NS
94071	Cell1 - Cond1 vs Cond3	9930111J21Rik2	0.07	NA	NS
478735	Cell2 - Cond4 vs Cond3	Map2k4	-0.01	NA	NS
361923	Cell2 - Cond2 vs Cond3	Mag	0.11	NA	NS
191831	Cell2 - Cond1 vs Cond2	Igbp1b	0	NA	NS
373257	Cell2 - Cond2 vs Cond3	Serpina11	0.04	NA	NS
439227	Cell2 - Cond2 vs Cond4	Gm9440	NA	NA	NS
404969	Cell2 - Cond2 vs Cond4	Olfr360	0.01	NA	NS
217148	Cell2 - Cond1 vs Cond2	Exoc6	0	NA	NS
175129	Cell2 - Cond1 vs Cond2	Commd3	0.08	0.985932318243691	NS
90716	Cell1 - Cond1 vs Cond3	9230112J17Rik	0	NA	NS
462857	Cell2 - Cond4 vs Cond3	Gm42603	0	NA	NS
359298	Cell2 - Cond2 vs Cond3	Gm35386	0.03	NA	NS
436389	Cell2 - Cond2 vs Cond4	CT486005.1	0.03	NA	NS
84681	Cell1 - Cond1 vs Cond3	Zscan5b	0.05	NA	NS
327622	Cell2 - Cond1 vs Cond4	Ms4a4b	0.25	NA	NS
264351	Cell2 - Cond1 vs Cond3	Gm34558	0.07	NA	NS
6517	Cell1 - Cond1 vs Cond2	Slc39a2	0.26	0.450244232848288	NS
176485	Cell2 - Cond1 vs Cond2	1700088E04Rik	-0.02	0.999244511313729	NS
164140	Cell1 - Cond2 vs Cond3	Gm24627	NA	NA	NS
253753	Cell2 - Cond1 vs Cond3	Cacng3	0.13	NA	NS
340700	Cell2 - Cond2 vs Cond3	Gm47233	-0.46	0.323521942408283	NS
13630	Cell1 - Cond1 vs Cond2	Rpp25	-0.04	0.979279627689343	NS
8302	Cell1 - Cond1 vs Cond2	Acap2	0.13	0.603808003822877	NS
276158	Cell2 - Cond1 vs Cond3	Gm21573	NA	NA	NS
416773	Cell2 - Cond2 vs Cond4	Sptbn4	0.08	NA	NS
55893	Cell1 - Cond1 vs Cond3	Mtx2	-0.97	4.52286280342362e-09	NS
288909	Cell2 - Cond1 vs Cond4	Slc27a4	-0.2	0.692336179943589	NS
350532	Cell2 - Cond2 vs Cond3	Gm14427	0.19	NA	NS
435331	Cell2 - Cond2 vs Cond4	Sim2	0.05	NA	NS
281654	Cell2 - Cond1 vs Cond4	Fgfr1op	-0.42	0.0755144902884569	NS
476922	Cell2 - Cond4 vs Cond3	Gm25745	NA	NA	NS
46798	Cell1 - Cond1 vs Cond2	Gm23215	NA	NA	NS
481782	Cell2 - Cond4 vs Cond3	Scarna13	0	NA	NS
136610	Cell1 - Cond2 vs Cond3	Gm26725	0.12	NA	NS
15739	Cell1 - Cond1 vs Cond2	Mir8114	NA	NA	NS
110865	Cell1 - Cond2 vs Cond3	Atp6v1c1	-1.31	1.27991289370325e-12	Downregulated
171107	Cell2 - Cond1 vs Cond2	Dot1l	-0.13	0.855665839424739	NS
390253	Cell2 - Cond2 vs Cond4	Idh3g	-0.47	0.0343105688232849	NS
341364	Cell2 - Cond2 vs Cond3	Ubl5	-0.25	0.388066445383009	NS
116465	Cell1 - Cond2 vs Cond3	Ggnbp2	-0.29	0.0684089478504512	NS
95907	Cell1 - Cond1 vs Cond3	Gm18442	NA	NA	NS
326618	Cell2 - Cond1 vs Cond4	AC102549.1	0.04	NA	NS
172209	Cell2 - Cond1 vs Cond2	Scoc	0.06	0.913936703581198	NS
354435	Cell2 - Cond2 vs Cond3	Gm11862	NA	NA	NS
463159	Cell2 - Cond4 vs Cond3	Gm15988	0	NA	NS
200052	Cell2 - Cond1 vs Cond2	Zfp445	-0.01	NA	NS
158968	Cell1 - Cond2 vs Cond3	Gm2808	NA	NA	NS
71190	Cell1 - Cond1 vs Cond3	Gm22616	NA	NA	NS
43834	Cell1 - Cond1 vs Cond2	Dnah12	-0.03	NA	NS
422237	Cell2 - Cond2 vs Cond4	Gm23248	0.07	NA	NS
212884	Cell2 - Cond1 vs Cond2	Gm37508	NA	NA	NS
16915	Cell1 - Cond1 vs Cond2	Mir219b	NA	NA	NS
400925	Cell2 - Cond2 vs Cond4	Rps19-ps11	0.08	0.880262775492207	NS
242153	Cell2 - Cond1 vs Cond3	Gm14416	NA	NA	NS
183844	Cell2 - Cond1 vs Cond2	Gm10355	0	NA	NS
101796	Cell1 - Cond1 vs Cond3	Ly6k	NA	NA	NS
479462	Cell2 - Cond4 vs Cond3	Nfe2l1	-0.01	NA	NS
245806	Cell2 - Cond1 vs Cond3	Gm13250	-0.01	NA	NS
94903	Cell1 - Cond1 vs Cond3	Hoxb5os	0.35	NA	NS
242517	Cell2 - Cond1 vs Cond3	Gm37031	0.07	NA	NS
447240	Cell2 - Cond4 vs Cond3	Afap1	-0.03	0.884584452753008	NS
476488	Cell2 - Cond4 vs Cond3	Gm19074	0	NA	NS
397905	Cell2 - Cond2 vs Cond4	Syne2	0.12	0.594059662804021	NS
306474	Cell2 - Cond1 vs Cond4	Tescl	0.04	NA	NS
359008	Cell2 - Cond2 vs Cond3	Gm20730	0	NA	NS
34336	Cell1 - Cond1 vs Cond2	Gm47144	0.05	NA	NS
414780	Cell2 - Cond2 vs Cond4	Gm44414	0.03	NA	NS
418479	Cell2 - Cond2 vs Cond4	Olfr563-ps1	-0.02	NA	NS
318905	Cell2 - Cond1 vs Cond4	Vmn1r195	-0.01	NA	NS
392945	Cell2 - Cond2 vs Cond4	Cfap52	0.56	0.177640269334621	NS
40783	Cell1 - Cond1 vs Cond2	A930040O22Rik	0	NA	NS
275651	Cell2 - Cond1 vs Cond3	Gm20811	NA	NA	NS
369471	Cell2 - Cond2 vs Cond3	Gm24186	NA	NA	NS
27821	Cell1 - Cond1 vs Cond2	Tas2r110	-0.02	NA	NS
178982	Cell2 - Cond1 vs Cond2	Olfr432	0	NA	NS
280756	Cell2 - Cond1 vs Cond4	Ncoa1	-0.62	0.0415655839271169	NS
265560	Cell2 - Cond1 vs Cond3	Gm10248	0.08	NA	NS
274451	Cell2 - Cond1 vs Cond3	Gm25366	NA	NA	NS
429062	Cell2 - Cond2 vs Cond4	Gm48262	0.01	NA	NS
339338	Cell2 - Cond2 vs Cond3	Mipol1	0.53	0.214053579154463	NS
25915	Cell1 - Cond1 vs Cond2	Gm26484	NA	NA	NS
432351	Cell2 - Cond2 vs Cond4	Defb48	NA	NA	NS
465253	Cell2 - Cond4 vs Cond3	Igkv4-56	0	NA	NS
303832	Cell2 - Cond1 vs Cond4	Gm35931	0.05	NA	NS
242937	Cell2 - Cond1 vs Cond3	Gm6546	-0.11	NA	NS
252254	Cell2 - Cond1 vs Cond3	Mrgpra18-ps	NA	NA	NS
2129	Cell1 - Cond1 vs Cond2	P4ha2	1.36	0.0504213337460342	NS
340690	Cell2 - Cond2 vs Cond3	Pdcd2l	-0.26	0.322941591270431	NS
211604	Cell2 - Cond1 vs Cond2	4930571N24Rik	0	NA	NS
10058	Cell1 - Cond1 vs Cond2	Gm6576	-0.19	0.73823128899721	NS
136177	Cell1 - Cond2 vs Cond3	Gm43386	-0.01	NA	NS
418870	Cell2 - Cond2 vs Cond4	Gm23662	0.03	NA	NS
432660	Cell2 - Cond2 vs Cond4	Gm25495	-0.03	NA	NS
418774	Cell2 - Cond2 vs Cond4	Olfr486	NA	NA	NS
70667	Cell1 - Cond1 vs Cond3	0610037L13Rik	-0.02	0.93900361145453	NS
10891	Cell1 - Cond1 vs Cond2	Ripk1	-0.08	0.794934835345304	NS
363451	Cell2 - Cond2 vs Cond3	Gm44545	0	NA	NS
496192	Cell2 - Cond4 vs Cond3	Gm15152	0	NA	NS
136521	Cell1 - Cond2 vs Cond3	Gm42482	-0.01	NA	NS
274271	Cell2 - Cond1 vs Cond3	1700018G05Rik	0.05	NA	NS
301749	Cell2 - Cond1 vs Cond4	4930448I18Rik	-0.05	NA	NS
61923	Cell1 - Cond1 vs Cond3	Gm44264	-0.9	0.102187458200496	NS
311991	Cell2 - Cond1 vs Cond4	Aqp9	-0.07	NA	NS
184985	Cell2 - Cond1 vs Cond2	Gm12379	-0.01	NA	NS
62576	Cell1 - Cond1 vs Cond3	Gm6012	-0.79	0.144491032525259	NS
137776	Cell1 - Cond2 vs Cond3	Gm44405	NA	NA	NS
333652	Cell2 - Cond2 vs Cond3	Irak4	-0.78	0.00109346332762776	NS
168746	Cell2 - Cond1 vs Cond2	Sept6	0.22	0.615718456856203	NS
25567	Cell1 - Cond1 vs Cond2	Urad	-0.03	NA	NS
331032	Cell2 - Cond1 vs Cond4	Gm28298	NA	NA	NS
135854	Cell1 - Cond2 vs Cond3	Gm43324	0.03	NA	NS
206586	Cell2 - Cond1 vs Cond2	Adarb2	0.01	NA	NS
264118	Cell2 - Cond1 vs Cond3	Gm26086	-0.07	NA	NS
348635	Cell2 - Cond2 vs Cond3	Avpr1b	0.15	NA	NS
377381	Cell2 - Cond2 vs Cond3	Gm49009	0.03	NA	NS
464751	Cell2 - Cond4 vs Cond3	A930035D04Rik	0	NA	NS
198380	Cell2 - Cond1 vs Cond2	Robo3	0.01	NA	NS
485676	Cell2 - Cond4 vs Cond3	Gm17186	NA	NA	NS
14762	Cell1 - Cond1 vs Cond2	Slc11a1	-0.05	NA	NS
35401	Cell1 - Cond1 vs Cond2	Gm22492	-0.01	NA	NS
399005	Cell2 - Cond2 vs Cond4	Aaed1	0.09	0.700784196393299	NS
490812	Cell2 - Cond4 vs Cond3	Trim10	0	NA	NS
416863	Cell2 - Cond2 vs Cond4	Nphs1	0.1	NA	NS
432790	Cell2 - Cond2 vs Cond4	Gm48970	NA	NA	NS
188279	Cell2 - Cond1 vs Cond2	Gm43145	0.01	NA	NS
316994	Cell2 - Cond1 vs Cond4	Gm47701	-0.03	NA	NS
405335	Cell2 - Cond2 vs Cond4	Gm13655	-0.12	NA	NS
75362	Cell1 - Cond1 vs Cond3	Gm23650	NA	NA	NS
251888	Cell2 - Cond1 vs Cond3	Gm37827	0.05	NA	NS
24744	Cell1 - Cond1 vs Cond2	Gm18702	0	NA	NS
82235	Cell1 - Cond1 vs Cond3	D730045B01Rik	-0.09	NA	NS
205439	Cell2 - Cond1 vs Cond2	Gm48196	NA	NA	NS
74542	Cell1 - Cond1 vs Cond3	Gm13697	NA	NA	NS
448255	Cell2 - Cond4 vs Cond3	AC098880.2	-0.01	0.935952310559444	NS
437818	Cell2 - Cond2 vs Cond4	Scarna17	0	NA	NS
443233	Cell2 - Cond4 vs Cond3	Sestd1	0.48	0.155020647277439	NS
280434	Cell2 - Cond1 vs Cond4	Cldn8	1.35	0.0313508288740739	Upregulated
282125	Cell2 - Cond1 vs Cond4	Mrpl51	-0.47	0.0998997383721438	NS
2657	Cell1 - Cond1 vs Cond2	Pdk3	0.48	0.0897107131357123	NS
151198	Cell1 - Cond2 vs Cond3	Gm49382	NA	NA	NS
202165	Cell2 - Cond1 vs Cond2	Olfr805	0	NA	NS
75776	Cell1 - Cond1 vs Cond3	Gm14241	NA	NA	NS
258458	Cell2 - Cond1 vs Cond3	Gm47644	0.12	NA	NS
114751	Cell1 - Cond2 vs Cond3	Ube2z	0.49	0.0149088257482764	NS
413407	Cell2 - Cond2 vs Cond4	Gm36447	-0.02	NA	NS
436505	Cell2 - Cond2 vs Cond4	Gm37248	0	NA	NS
331804	Cell2 - Cond1 vs Cond4	Gm29146	NA	NA	NS
341361	Cell2 - Cond2 vs Cond3	Fau	-0.32	0.387782786617382	NS
312374	Cell2 - Cond1 vs Cond4	Gm28688	NA	NA	NS
146376	Cell1 - Cond2 vs Cond3	Snord16a	NA	NA	NS
47206	Cell1 - Cond1 vs Cond2	Lrrc15	-0.01	NA	NS
116385	Cell1 - Cond2 vs Cond3	Fggy	0.58	0.0645391851420321	NS
437502	Cell2 - Cond2 vs Cond4	Mospd4	-0.04	NA	NS
329665	Cell2 - Cond1 vs Cond4	5330434G04Rik	0.23	NA	NS
24696	Cell1 - Cond1 vs Cond2	4930405H06Rik	0	NA	NS
444907	Cell2 - Cond4 vs Cond3	Zfp13	0.02	0.659335573561136	NS
250592	Cell2 - Cond1 vs Cond3	Gm15543	-0.01	NA	NS
430521	Cell2 - Cond2 vs Cond4	Gm4130	-0.04	NA	NS
93876	Cell1 - Cond1 vs Cond3	Mir216b	NA	NA	NS
105997	Cell1 - Cond1 vs Cond3	AC116489.2	-0.02	NA	NS
56569	Cell1 - Cond1 vs Cond3	Synj2	1.41	9.73315518352293e-06	Upregulated
265373	Cell2 - Cond1 vs Cond3	Gm16434	NA	NA	NS
298527	Cell2 - Cond1 vs Cond4	4930408K08Rik	0.05	NA	NS
90165	Cell1 - Cond1 vs Cond3	Gm47775	NA	NA	NS
328572	Cell2 - Cond1 vs Cond4	Gm4732	0.04	NA	NS
196933	Cell2 - Cond1 vs Cond2	Gm45756	-0.02	NA	NS
149274	Cell1 - Cond2 vs Cond3	Gm11987	NA	NA	NS
281137	Cell2 - Cond1 vs Cond4	Dnah7b	1.62	0.0544802554014803	NS
156963	Cell1 - Cond2 vs Cond3	9330182O14Rik	0.01	NA	NS
460970	Cell2 - Cond4 vs Cond3	Gm25951	NA	NA	NS
417305	Cell2 - Cond2 vs Cond4	Klk1b4	0.03	NA	NS
124721	Cell1 - Cond2 vs Cond3	2810407A14Rik	0.13	0.76867972320866	NS
482904	Cell2 - Cond4 vs Cond3	Gm22358	0	NA	NS
414871	Cell2 - Cond2 vs Cond4	Rpl21-ps12	0.11	NA	NS
215817	Cell2 - Cond1 vs Cond2	Gm22697	NA	NA	NS
207113	Cell2 - Cond1 vs Cond2	A530084C06Rik	NA	NA	NS
182150	Cell2 - Cond1 vs Cond2	Rtf2	0	NA	NS
301380	Cell2 - Cond1 vs Cond4	Snord93	0.03	NA	NS
70717	Cell1 - Cond1 vs Cond3	Nufip1	0.01	0.946490925792263	NS
22308	Cell1 - Cond1 vs Cond2	Gm37556	0	NA	NS
116012	Cell1 - Cond2 vs Cond3	Sec16b	-0.68	0.0509688404290065	NS
151159	Cell1 - Cond2 vs Cond3	Gm49764	-0.03	NA	NS
142562	Cell1 - Cond2 vs Cond3	Vmn2r-ps77	NA	NA	NS
161619	Cell1 - Cond2 vs Cond3	Stxbp3-ps	0	NA	NS
132126	Cell1 - Cond2 vs Cond3	Gm38066	0.25	NA	NS
22982	Cell1 - Cond1 vs Cond2	Pla2g2e	0.01	NA	NS
256207	Cell2 - Cond1 vs Cond3	Gm30933	-0.01	NA	NS
490512	Cell2 - Cond4 vs Cond3	AC090881.1	0	NA	NS
213689	Cell2 - Cond1 vs Cond2	Gm49669	0.01	NA	NS
411959	Cell2 - Cond2 vs Cond4	Gm43390	0	NA	NS
165294	Cell1 - Cond2 vs Cond3	Gm20889	NA	NA	NS
318601	Cell2 - Cond1 vs Cond4	Gm35330	-0.02	NA	NS
436241	Cell2 - Cond2 vs Cond4	Gm20429	0.02	NA	NS
7327	Cell1 - Cond1 vs Cond2	Cst3	0.13	0.526849377129576	NS
275355	Cell2 - Cond1 vs Cond3	Gm28954	NA	NA	NS
81959	Cell1 - Cond1 vs Cond3	Gm43649	0.41	NA	NS
36827	Cell1 - Cond1 vs Cond2	Gm19624	0.05	NA	NS
220978	Cell2 - Cond1 vs Cond2	Gm29425	0	NA	NS
136583	Cell1 - Cond2 vs Cond3	C030018K13Rik	0.04	NA	NS
157488	Cell1 - Cond2 vs Cond3	Gm24575	NA	NA	NS
283557	Cell2 - Cond1 vs Cond4	Maf1	-0.29	0.189171610513264	NS
125449	Cell1 - Cond2 vs Cond3	Dohh	0.11	0.838445697105518	NS
59790	Cell1 - Cond1 vs Cond3	Cct5	-0.36	0.0202848621396013	NS
449477	Cell2 - Cond4 vs Cond3	Wdr5	0.03	0.97414182030708	NS
111942	Cell1 - Cond2 vs Cond3	Esd	-0.71	2.05057273191558e-05	NS
199604	Cell2 - Cond1 vs Cond2	Gm29387	0.01	NA	NS
217304	Cell2 - Cond1 vs Cond2	Gm6967	-0.03	NA	NS
116329	Cell1 - Cond2 vs Cond3	Plch1	0.43	0.0620760131309705	NS
168560	Cell2 - Cond1 vs Cond2	Tchh	0.1	0.581825805862948	NS
81108	Cell1 - Cond1 vs Cond3	Tmprss11g	-0.01	NA	NS
